YEAR,DISTRICT,PROJECT CODE,SYSTEM,DESCRIPTION REMARKS,MUNICIPALITY,STATUS,RESULT (FEASIBLE OR NOT FEASIBLE)
2026,3rd District,EGPIP-Solar,Malasiqui SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Malasiqui,,Feasible
2026,3rd District,EGPIP-Solar,Canan Norte SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Malasiqui,Relocation,
2026,3rd District,EGPIP-Solar,Banaoang SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Malasiqui,,Feasible
2026,3rd District,EGPIP-Solar,Cabatling SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Malasiqui,Relocation,
2026,2nd District,EGPIP-Solar,Bunlalacao SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Mangatarem,,Feasible
2026,2nd District,EGPIP-Solar,Mabalacat SPIP,Proc./Inst. Of 3 units Solar Powered Pump/Solar Power Driven Pump Irrigation,Mangatarem,2 sites for relocation,1 site Feasible 
2026,3rd District,EGPIP-Solar,Amanoaoac SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Mapandan,For Interpretation,
2026,3rd District,EGPIP-Solar,Leet SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Santa Barbara,For Interpretation,
2026,3rd District,EGPIP-Solar,Banaoag SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Santa Barbara,For Submission of Raw data to Regional Office,
2026,1st District,EGPIP-Solar,Bolaoen SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Sual,For Interpretation,
2026,2nd District,EGPIP-Solar,Cabayaoasan PIS,"Construction of Pump Irrigation System, 2 units Well Development",Bugallon,For Interpretation,
2026,2nd District,EGPIP-Solar,Salavante PIS,"Construction of Pump Irrigation System, 2 units Well Development",Urbiztondo,For Interpretation,
2026,6th District,EGPIP-Solar,Acop SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Rosales,For Submission of Raw data to Regional Office,
,,,,,,,
,,,,,,,
Summary:,,,,,,,
Total Projects for SPIP,,35,,,,,
Projects with Geores,,27,,,,,
Breakdown:,,,,,,,
For Interpretation,,10,,,,,
Raw Data (For Submission),,4,,,,,
Relocation (Not Feasible),,8,,,,,
Feasible,,5,,,,,
,,,,,,,
For Schedule,,6,,,,,
Open Source,,1,,,,,
Provision of Pumps,,1,,,,,
